id,word,pronounciation,english_meaning,vietnamese_meaning,synonyms
1,repudiate,/rɪˈpjuːdieɪt/,to refuse to accept; to reject formally,"bác bỏ, từ chối","reject, deny, disown"
2,corroborate,/kəˈrɑːbəreɪt/,to confirm or give support to a statement,"xác nhận, củng cố","confirm, verify, substantiate"
3,equivocal,/ɪˈkwɪvəkəl/,open to more than one interpretation; ambiguous,"nhập nhằng, mơ hồ","ambiguous, unclear, uncertain"
4,meticulous,/məˈtɪkjələs/,showing great attention to detail,"tỉ mỉ, cẩn thận","careful, thorough, precise"
5,subvert,/səbˈvɜːrt/,to undermine the power or authority of,"lật đổ, làm suy yếu","undermine, sabotage, destabilize"
6,substantiate,/səbˈstænʃieɪ t/,to provide evidence to support or prove,"chứng minh, xác minh","verify, confirm, validate"
7,mitigate,/ˈmɪtɪɡeɪt/,to make less severe or painful,giảm nhẹ,"alleviate, ease, lessen"
8,idiosyncratic,/ˌɪdiəsɪŋˈkræt ɪk/,peculiar to an individual,"đặc trưng riêng, khác lạ","distinctive, peculiar, unique"
9,preclude,/prɪˈkluːd/,to prevent something from happening,"ngăn cản, loại trừ","prevent, hinder, exclude"
10,supplant,/səˈplænt/,"to replace, especially by underhand means","thay thế, hất cẳng ","replace, displace, supersede"
11,discern,/dɪˈsɜːrn/,to recognize or perceive clearly,"phân biệt, nhận thấy","perceive, distinguish, detect"
12,evince,/ɪˈvɪns/,to show or reveal a quality clearly,"biểu lộ, cho thấy","show, display, manifest"
13,contentious,/kənˈtenʃəs/,causing or likely to cause an argument,gây tranh cãi,"controversial, disputed, debatable"
14,preempt,/priˈempt/,to take action to prevent something,"phòng ngừa, ngăn trước","forestall, prevent, anticipate"
15,ameliorate,/əˈmiːliəreɪt/,to make something bad better,"cải thiện, làm tốt hơn","improve, enhance, alleviate"
16,scrutinize,/ˈskruːtənaɪz/,to examine or inspect closely,xem xét kỹ lưỡng,"examine, inspect, study "
17,presuppose,/ˌpriːsəˈpoʊz/,to require as a precondition; to assume beforehand,giả định trước,"assume, presume, take for granted"
18,incongruous,/ɪnˈkɑːŋɡruəs/,not in harmony or keeping with the surroundings,"không phù hợp, lạc lõng","inappropriate, mismatched, jarring"
19,subordinate,/səˈbɔːrdənət/,lower in rank or position; secondary,"phụ thuộc, thứ yếu","secondary, inferior, lesser"
20,abate,/əˈbeɪt/,to become less intense or widespread,"giảm bớt, dịu đi","diminish, lessen, decrease"
21,simplify,/ˈsɪmplɪfaɪ/,to make less complicated,đơn giản hóa,"streamline, clarify, reduce"
22,replicate,/ˈreplɪkeɪt/,to make an exact copy of; reproduce,"lặp lại, sao chép","duplicate, copy, reproduce"
23,eschew,/esˈtʃuː/,to deliberately avoid using,tránh né,"avoid, shun, abstain from"
24,anticipate,/ænˈtɪsɪpeɪt/,to expect or predict,"dự đoán, lường trước","expect, predict, foresee"
25,engender,/ɪnˈdʒendər/,to cause or give rise to a feeling or situation,"gây ra, sinh ra","produce, generate, create"
26,vindicate,/ˈvɪndɪkeɪt/,to clear of blame; to justify,"minh oan, biện hộ","justify, defend, exonerate"
27,induce,/ɪnˈduːs/,to succeed in persuading or leading someone,"dẫn đến, gây ra","cause, prompt, persuade"
28,untenable,/ʌnˈtenəbəl/,not able to be maintained or defended,không thể bảo vệ được,"indefensible, unsustainable, weak"
29,rectify,/ˈrektɪfaɪ/,to put right; to correct,"sửa chữa, chỉnh lại ","correct, fix, amend"
30,harbinger,/ˈhɑːrbɪndʒər/,a person or thing that announces something coming,"điềm báo, kẻ báo hiệu","herald, omen, precursor"
31,perfunctory,/pərˈfʌŋktəri/,carried out without thought or care,"qua loa, chiếu lệ","cursory, superficial, mechanical"
32,overlook,/ˌoʊvərˈlʊk/,to fail to notice; to ignore,"bỏ qua, không để ý","ignore, miss, neglect"
33,anomalous,/əˈnɑːmələs/,deviating from what is standard,"bất thường, dị thường","abnormal, atypical, irregular"
34,augment,/ɔːɡˈment/,to make greater by adding to it,"tăng cường, bổ sung","increase, supplement, boost"
35,magnify,/ˈmæɡnɪfaɪ/,to make appear larger or greater ,"phóng đại, khuếch đại","enlarge, amplify, intensify"
36,amend,/əˈmend/,to make minor changes to improve,"sửa đổi, tu chỉnh","modify, revise, alter"
37,elusive,/ɪˈluːsɪv/,"difficult to find, catch, or achieve",khó nắm bắt,"evasive, slippery, intangible"
38,categorize,/ˈkætəɡəraɪz/,to place in a particular category,phân loại,"classify, sort, group"
39,attenuate,/əˈtenjueɪt/,to reduce the force or value,"làm giảm, làm yếu đi","weaken, lessen, diminish"
40,verisimilitud e,/ˌverɪsɪˈmɪlɪtu ːd/,the appearance of being true or real,vẻ giống thật,"realism, authenticity, plausibility"
